,f_slp:fitbit_sleep_summary_rapids_sumdurationasleepmain:allday,f_slp:fitbit_sleep_summary_rapids_sumdurationasleepmain:night,f_slp:fitbit_sleep_summary_rapids_firstwaketimemain:allday,f_slp:fitbit_sleep_summary_rapids_firstbedtimemain:allday,pid,date,f_screen:phone_screen_rapids_sumdurationunlock:allday,f_screen:phone_screen_rapids_countepisodeunlock:allday,month,week,week_period,platform
0,259.0,,,1864.0,INS-W_600,2020-03-16,,,Mar,1,2020-03-16 to  2020-03-22,ios
1,317.0,,704.0,1787.0,INS-W_600,2020-03-17,,,Mar,1,2020-03-16 to  2020-03-22,ios
2,213.0,,700.5,1802.5,INS-W_600,2020-03-18,,,Mar,1,2020-03-16 to  2020-03-22,ios
3,0.0,,593.5,,INS-W_600,2020-03-19,,,Mar,1,2020-03-16 to  2020-03-22,ios
4,442.0,,,910.0,INS-W_600,2020-03-20,103.11555,50.0,Mar,1,2020-03-16 to  2020-03-22,ios
5,510.0,,-410.0,1720.0,INS-W_600,2020-03-21,538.22395,122.0,Mar,1,2020-03-16 to  2020-03-22,ios
6,356.0,,829.0,1846.0,INS-W_600,2020-03-22,514.95,84.0,Mar,1,2020-03-16 to  2020-03-22,ios
7,443.0,,786.5,1795.5,INS-W_600,2020-03-23,518.844883333333,117.0,Mar,2,2020-03-23 to  2020-03-29,ios
8,444.0,,837.0,1750.5,INS-W_600,2020-03-24,381.788333333333,82.0,Mar,2,2020-03-23 to  2020-03-29,ios
9,606.0,,780.0,1435.0,INS-W_600,2020-03-25,421.1352,64.0,Mar,2,2020-03-23 to  2020-03-29,ios
10,464.0,,700.0,1742.5,INS-W_600,2020-03-26,,,Mar,2,2020-03-23 to  2020-03-29,ios
11,446.0,,788.0,1769.0,INS-W_600,2020-03-27,523.423983333334,84.0,Mar,2,2020-03-23 to  2020-03-29,ios
12,473.0,,793.5,1727.5,INS-W_600,2020-03-28,,,Mar,2,2020-03-23 to  2020-03-29,ios
13,463.0,,802.0,1767.0,INS-W_600,2020-03-29,121.31135,46.0,Mar,2,2020-03-23 to  2020-03-29,ios
14,451.0,,818.5,1815.5,INS-W_600,2020-03-30,432.14635,93.0,Mar,3,2020-03-30 to  2020-04-05,ios
15,490.0,,862.0,1750.5,INS-W_600,2020-03-31,360.0558,81.0,Mar,3,2020-03-30 to  2020-04-05,ios
16,433.0,,833.0,1829.5,INS-W_600,2020-04-01,82.5989833333333,45.0,Apr,3,2020-03-30 to  2020-04-05,ios
17,319.0,,848.0,1500.0,INS-W_600,2020-04-02,491.54465,166.0,Apr,3,2020-03-30 to  2020-04-05,ios
18,587.0,,423.0,1545.0,INS-W_600,2020-04-03,436.7908,104.0,Apr,3,2020-03-30 to  2020-04-05,ios
19,415.0,,745.0,1741.0,INS-W_600,2020-04-04,385.30595,68.0,Apr,3,2020-03-30 to  2020-04-05,ios
20,309.0,,734.5,1669.0,INS-W_600,2020-04-05,164.295183333333,102.0,Apr,3,2020-03-30 to  2020-04-05,ios
21,536.0,,583.5,1582.5,INS-W_600,2020-04-06,472.694816666666,94.0,Apr,4,2020-04-06 to  2020-04-12,ios
22,322.0,,707.5,1789.0,INS-W_600,2020-04-07,345.010383333333,82.0,Apr,4,2020-04-06 to  2020-04-12,ios
23,477.0,,695.0,1777.0,INS-W_600,2020-04-08,503.9683,69.0,Apr,4,2020-04-06 to  2020-04-12,ios
24,324.0,,842.5,1847.0,INS-W_600,2020-04-09,420.619116666666,106.0,Apr,4,2020-04-06 to  2020-04-12,ios
25,523.0,,761.5,1702.0,INS-W_600,2020-04-10,309.209716666667,101.0,Apr,4,2020-04-06 to  2020-04-12,ios
26,498.0,,804.0,1699.5,INS-W_600,2020-04-11,235.722266666667,82.0,Apr,4,2020-04-06 to  2020-04-12,ios
27,454.0,,780.0,1777.0,INS-W_600,2020-04-12,467.626833333333,42.0,Apr,4,2020-04-06 to  2020-04-12,ios
28,517.0,,807.0,1781.5,INS-W_600,2020-04-13,,,Apr,5,2020-04-13 to  2020-04-19,ios
29,412.0,,891.5,1818.0,INS-W_600,2020-04-14,150.415066666667,42.0,Apr,5,2020-04-13 to  2020-04-19,ios
30,523.0,,803.0,1700.5,INS-W_600,2020-04-15,815.665300000001,52.0,Apr,5,2020-04-13 to  2020-04-19,ios
31,465.0,,811.5,1759.0,INS-W_600,2020-04-16,,,Apr,5,2020-04-13 to  2020-04-19,ios
32,364.0,,812.5,1903.5,INS-W_600,2020-04-17,547.950466666668,65.0,Apr,5,2020-04-13 to  2020-04-19,ios
33,504.0,,835.0,1741.5,INS-W_600,2020-04-18,75.6788833333333,13.0,Apr,5,2020-04-13 to  2020-04-19,ios
34,471.0,,833.5,1722.0,INS-W_600,2020-04-19,145.426216666667,44.0,Apr,5,2020-04-13 to  2020-04-19,ios
35,551.0,,783.5,1672.5,INS-W_600,2020-04-20,366.112516666667,61.0,Apr,6,2020-04-20 to  2020-04-26,ios
36,458.0,,832.5,1754.0,INS-W_600,2020-04-21,457.737783333334,96.0,Apr,6,2020-04-20 to  2020-04-26,ios
37,588.0,,795.0,1610.5,INS-W_600,2020-04-22,212.035133333333,58.0,Apr,6,2020-04-20 to  2020-04-26,ios
38,312.0,,805.5,1696.0,INS-W_600,2020-04-23,276.168933333333,103.0,Apr,6,2020-04-20 to  2020-04-26,ios
39,461.0,,609.0,1426.5,INS-W_600,2020-04-24,695.161466666668,88.0,Apr,6,2020-04-20 to  2020-04-26,ios
40,432.0,,482.5,1722.5,INS-W_600,2020-04-25,,,Apr,6,2020-04-20 to  2020-04-26,ios
41,429.0,,743.0,1647.5,INS-W_600,2020-04-26,217.479983333333,56.0,Apr,6,2020-04-20 to  2020-04-26,ios
42,404.0,,686.5,1668.0,INS-W_600,2020-04-27,370.134433333333,47.0,Apr,7,2020-04-27 to  2020-05-03,ios
43,519.0,,660.5,1620.0,INS-W_600,2020-04-28,,,Apr,7,2020-04-27 to  2020-05-03,ios
44,489.0,,734.5,1720.5,INS-W_600,2020-04-29,319.746283333334,53.0,Apr,7,2020-04-27 to  2020-05-03,ios
45,459.0,,793.0,1687.0,INS-W_600,2020-04-30,436.35955,93.0,Apr,7,2020-04-27 to  2020-05-03,ios
46,453.0,,730.0,1734.0,INS-W_600,2020-05-01,376.50245,68.0,May,7,2020-04-27 to  2020-05-03,ios
47,478.0,,778.5,1690.5,INS-W_600,2020-05-02,516.966683333333,67.0,May,7,2020-04-27 to  2020-05-03,ios
48,531.0,,771.5,1729.0,INS-W_600,2020-05-03,438.866633333333,50.0,May,7,2020-04-27 to  2020-05-03,ios
49,448.0,,840.0,1764.0,INS-W_600,2020-05-04,453.7708,65.0,May,8,2020-05-04 to  2020-05-10,ios
50,380.0,,814.5,1875.0,INS-W_600,2020-05-05,376.2981,97.0,May,8,2020-05-04 to  2020-05-10,ios
51,,,824.5,,INS-W_600,2020-05-06,282.452633333333,39.0,May,8,2020-05-04 to  2020-05-10,ios
52,361.0,,,1886.5,INS-W_600,2020-05-07,457.094416666667,84.0,May,8,2020-05-04 to  2020-05-10,ios
53,544.0,,827.5,1731.5,INS-W_600,2020-05-08,554.333216666667,123.0,May,8,2020-05-04 to  2020-05-10,ios
54,503.0,,862.5,1732.0,INS-W_600,2020-05-09,429.831949999999,148.0,May,8,2020-05-04 to  2020-05-10,ios
55,429.0,,843.5,1830.5,INS-W_600,2020-05-10,425.767983333333,82.0,May,8,2020-05-04 to  2020-05-10,ios
56,530.0,,847.0,1737.0,INS-W_600,2020-05-11,452.853816666667,89.0,May,9,2020-05-11 to  2020-05-17,ios
57,540.0,,840.0,1864.5,INS-W_600,2020-05-12,346.217483333333,44.0,May,9,2020-05-11 to  2020-05-17,ios
58,,,1031.0,,INS-W_600,2020-05-13,392.279733333333,82.0,May,9,2020-05-11 to  2020-05-17,ios
59,442.0,,,1796.0,INS-W_600,2020-05-14,429.8568,132.0,May,9,2020-05-11 to  2020-05-17,ios
60,499.0,,833.5,1782.0,INS-W_600,2020-05-15,513.92345,155.0,May,9,2020-05-11 to  2020-05-17,ios
61,437.0,,870.0,1845.0,INS-W_600,2020-05-16,444.697016666666,111.0,May,9,2020-05-11 to  2020-05-17,ios
62,365.0,,879.0,1913.0,INS-W_600,2020-05-17,646.624266666668,70.0,May,9,2020-05-11 to  2020-05-17,ios
63,346.0,,856.5,1666.5,INS-W_600,2020-05-18,,,May,10,2020-05-18 to  2020-05-24,ios
64,519.0,,588.5,1697.5,INS-W_600,2020-05-19,,,May,10,2020-05-18 to  2020-05-24,ios
65,337.0,,810.5,1613.0,INS-W_600,2020-05-20,201.10595,67.0,May,10,2020-05-18 to  2020-05-24,ios
66,419.0,,558.5,1219.5,INS-W_600,2020-05-21,205.564483333333,40.0,May,10,2020-05-18 to  2020-05-24,ios
67,564.0,,221.5,1668.0,INS-W_600,2020-05-22,,,May,10,2020-05-18 to  2020-05-24,ios
68,335.0,,828.0,1525.5,INS-W_600,2020-05-23,,,May,10,2020-05-18 to  2020-05-24,ios
69,436.0,,442.5,1791.5,INS-W_600,2020-05-24,463.5282,69.0,May,10,2020-05-18 to  2020-05-24,ios
70,505.0,,807.5,1701.0,INS-W_600,2020-05-25,636.88555,81.0,May,11,2020-05-25 to  2020-05-31,ios
71,426.0,,811.0,1764.5,INS-W_600,2020-05-26,436.476916666667,101.0,May,11,2020-05-25 to  2020-05-31,ios
72,,,776.5,,INS-W_600,2020-05-27,480.299866666667,160.0,May,11,2020-05-25 to  2020-05-31,ios
73,,,,,INS-W_600,2020-05-28,459.629333333333,134.0,May,11,2020-05-25 to  2020-05-31,ios
74,507.0,,,1721.5,INS-W_600,2020-05-29,532.882216666666,94.0,May,11,2020-05-25 to  2020-05-31,ios
75,389.0,,802.0,1859.5,INS-W_600,2020-05-30,340.389933333333,96.0,May,11,2020-05-25 to  2020-05-31,ios
76,364.0,,848.5,1878.0,INS-W_600,2020-05-31,615.192816666666,105.0,May,11,2020-05-25 to  2020-05-31,ios
77,347.0,,829.5,1747.0,INS-W_600,2020-06-01,536.08825,130.0,June,12,2020-06-01 to  2020-06-07,ios
78,414.0,,673.5,1759.0,INS-W_600,2020-06-02,67.6293333333333,8.0,June,12,2020-06-01 to  2020-06-07,ios
79,426.0,,758.5,1842.0,INS-W_600,2020-06-03,,,June,12,2020-06-01 to  2020-06-07,ios
80,401.0,,861.5,1844.0,INS-W_600,2020-06-04,,,June,12,2020-06-01 to  2020-06-07,ios
81,506.0,,822.0,1665.5,INS-W_600,2020-06-05,,,June,12,2020-06-01 to  2020-06-07,ios
82,420.0,,757.5,1143.0,INS-W_600,2020-06-06,,,June,12,2020-06-01 to  2020-06-07,ios
83,,,151.5,,INS-W_600,2020-06-07,,,June,12,2020-06-01 to  2020-06-07,ios
84,,,,,INS-W_600,2020-06-08,,,June,13,2020-06-08 to  2020-06-14,ios
85,376.0,,,1575.5,INS-W_600,2020-06-09,,,June,13,2020-06-08 to  2020-06-14,ios
